Year ,State,Total_Seats,Male_Candidate,Female_Candidate,Male_Winner,Female_Winner
2019,Andaman and Nicobar Islands,1,14,1,1,0
2019,Chandigarh,1,27,9,0,1
2019,Dadar and Nagar Haveli,1,10,1,1,0
2019,Daman and Diu,1,4,0,1,0
2019,National Capital Territory,7,148,16,6,1
2019,Lakshadweep,1,6,0,1,0
2019,Pondicherry,1,16,2,1,0
2024,Andhra Pradesh,25,416,38,22,3
2024,ARUNACHAL PRADESH,2,13,1,2,0
2024,Assam,14,131,12,13,1
2024,Bihar,40,458,39,35,5
2024,Goa,2,13,3,2,0
2024,Gujarat,26,246,19,22,4
2024,Haryana,10,207,16,9,1
2024,Himachal Pradesh,4,34,3,3,1
2024,Jammu and Kashmir,5,97,7,5,0
2024,Karnataka,28,432,42,25,3
2024,Kerala,20,169,25,20,0
2024,Madhya Pradesh,29,342,26,23,6
2024,Maharashtra ,48,1009,111,41,7
2024,Manipur,2,10,0,2,0
2024,Meghalaya,2,8,2,2,0
2024,Mizoram,1,5,1,1,0
2024,Nagaland,1,3,0,1,0
2024,Orissa,21,174,33,17,4
2024,Punjab,13,302,26,12,1
2024,Rajasthan,25,247,19,22,3
2024,Sikkim,1,13,1,1,0
2024,Tamil Nadu,39,873,77,34,5
2024,Tripura,2,16,2,1,1
2024,Uttar Pradesh,80,771,80,73,7
2024,West Bengal,42,434,72,31,11
2024,Chattisgarh,11,191,29,8,3
2024,Jharkhand,14,212,31,12,2
2024,Uttranchal,5,51,4,4,1
2024,Telengana,17,475,50,15,2
2024,Andaman and Nicobar Islands,1,10,2,1,0
2024,Chandigarh,1,17,2,1,0
2024,Dadar and Nagar Haveli,1,7,0,1,0
2024,Daman and Diu,1,4,1,0,1
2024,National Capital Territory,7,137,23,5,2
2024,Lakshadweep,1,4,0,1,0
2024,Pondicherry,1,23,3,1,0
2024,Ladak,1,3,0,1,0
