State,Constituency,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
WEST BENGAL CODE : S25,BANKURA NO : 35,527499,492547,1020046,380107,311851,691958
WEST BENGAL CODE : S25,VISHNUPUR (SC) NO : 36,535866,516986,1052852,426099,377261,803360
WEST BENGAL CODE : S25,DURGAPUR (SC) NO : 37,605273,545666,1150939,469041,375736,844777
WEST BENGAL CODE : S25,ASANSOL NO : 38,602894,489247,1092141,427444,297346,724790
WEST BENGAL CODE : S25,BURDWAN NO : 39,622341,599479,1221820,526796,467207,994003
WEST BENGAL CODE : S25,KATWA NO : 40,600234,569291,1169525,507544,456145,963689
WEST BENGAL CODE : S25,BOLPUR NO : 41,525795,509217,1035012,414061,353634,767695
WEST BENGAL CODE : S25,BIRBHUM (SC) NO : 42,527046,502824,1029870,393377,328183,721560
CHHATTISGARH CODE : S26,SURGUJA (ST) NO : 1,707640,679843,1387483,402391,274089,676480
CHHATTISGARH CODE : S26,RAIGARH (ST) NO : 2,520609,518025,1038634,349543,298747,648290
CHHATTISGARH CODE : S26,JANJGIR NO : 3,702929,671489,1374418,408453,308897,717350
CHHATTISGARH CODE : S26,BILASPUR (SC) NO : 4,718155,693631,1411786,369267,252037,621304
CHHATTISGARH CODE : S26,SARANGARH (SC) NO : 5,597660,593729,1191389,333001,254743,587744
CHHATTISGARH CODE : S26,RAIPUR NO : 6,699764,670478,1370242,391155,298272,689427
CHHATTISGARH CODE : S26,MAHASAMUND NO : 7,579623,589796,1169419,415789,354810,770599
CHHATTISGARH CODE : S26,KANKER (ST) NO : 8,570195,581933,1152128,315768,237427,553195
CHHATTISGARH CODE : S26,BASTAR (ST) NO : 9,507521,531921,1039442,265351,185066,450417
CHHATTISGARH CODE : S26,DURG NO : 10,745723,717160,1462883,428212,333111,761323
CHHATTISGARH CODE : S26,RAJNANDGAON NO : 11,554923,566695,1121618,360817,303628,664445
JHARKHAND CODE : S27,RAJMAHAL (ST) NO : 1,551677,520363,1072040,379758,311358,691116
JHARKHAND CODE : S27,DUMKA (ST) NO : 2,569239,513961,1083200,371129,253914,625043
JHARKHAND CODE : S27,GODDA NO : 3,712584,626355,1338939,487229,344108,831337
JHARKHAND CODE : S27,CHATRA NO : 4,515592,462772,978364,266497,168991,435488
JHARKHAND CODE : S27,KODARMA NO : 5,691424,634310,1325734,477726,347971,825697
JHARKHAND CODE : S27,GIRIDIH NO : 6,716025,596666,1312691,443760,270611,714371
JHARKHAND CODE : S27,DHANBAD NO : 7,980265,769191,1749456,593588,348127,941715
JHARKHAND CODE : S27,RANCHI NO : 8,733418,645761,1379179,425539,270803,696342
JHARKHAND CODE : S27,JAMSHEDPUR NO : 9,726341,645784,1372125,445775,330733,776508
JHARKHAND CODE : S27,SINGHBHUM (ST) NO : 10,463556,456172,919728,292550,227605,520155
JHARKHAND CODE : S27,KHUNTI (ST) NO : 11,470507,434339,904846,276284,214488,490772
JHARKHAND CODE : S27,LOHARDAGA (ST) NO : 12,468653,438013,906666,271360,195976,467336
JHARKHAND CODE : S27,PALAMAU (SC) NO : 13,678391,610922,1289313,397464,244060,641524
JHARKHAND CODE : S27,HAZARIBAGH NO : 14,636492,543566,1180058,432397,273041,705438
UTTARANCHAL CODE : S28,TEHRI GARHWAL NO : 1,665321,627133,1292454,315932,245278,561210
UTTARANCHAL CODE : S28,GARHWAL NO : 2,530181,551118,1081299,254634,244912,499546
UTTARANCHAL CODE : S28,ALMORA NO : 3,481969,530787,1012756,257835,246921,504756
UTTARANCHAL CODE : S28,NAINITAL NO : 4,667409,594279,1261688,357571,258989,616560
UTTARANCHAL CODE : S28,HARDWAR (SC) NO : 5,493324,421116,914440,284524,201817,486341
ANDAMAN & NICOBAR ISLAND CODE : U01,ANDAMAN & NICOBAR ISLAND NO : 1,131502,110143,241645,83520,70284,153804
CHANDIGARH CODE : U02,CHANDIGARH NO : 1,292438,235246,527684,151932,117886,269818
DADRA & NAGAR HAVELI CODE : U03,DADRA & NAGAR HAVELI (ST) NO : 1,65059,57622,122681,43795,40904,84699
DAMAN & DIU CODE : U04,DAMAN AND DIU NO : 1,39595,39637,79232,25839,29751,55590
NATIONAL CAPITAL TERRITOR CODE : U05,NEW DELHI NO : 1,257765,197349,455114,117447,85479,202926
NATIONAL CAPITAL TERRITOR CODE : U05,SOUTH DELHI NO : 2,563419,455443,1018862,273815,205056,478871
NATIONAL CAPITAL TERRITOR CODE : U05,OUTER DELHI NO : 3,1911438,1456961,3368399,918029,635784,1553813
NATIONAL CAPITAL TERRITOR CODE : U05,EAST DELHI NO : 4,1482389,1124200,2606589,708186,482698,1190884
NATIONAL CAPITAL TERRITOR CODE : U05,CHANDNI CHOWK NO : 5,185157,152305,337462,106325,72678,179003
NATIONAL CAPITAL TERRITOR CODE : U05,DELHI SADAR NO : 6,261805,210008,471813,155839,115713,271552
NATIONAL CAPITAL TERRITOR CODE : U05,KAROL BAGH (SC) NO : 7,291952,213284,505236,148648,100536,249184
LAKSHADWEEP CODE : U06,LAKSHADWEEP (ST) NO : 1,19880,19153,39033,15698,16122,31820
PONDICHERRY CODE : U07,PONDICHERRY NO : 1,310658,326009,636667,240114,244202,484316
