State_Code,Constituency,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
S01,Adilabad No. :1,687421,698717,144,518481,525482,2
S01,Peddapalle No. :2,725765,699474,116,520741,500992,14
S01,Karimnagar No. :3,777440,773291,79,550760,569382,0
S01,Nizamabad No. :4,724523,771586,84,467172,559329,4
S01,Zahirabad No. :5,717891,727389,74,546010,546798,0
S01,Medak No. :6,775560,760532,74,605044,583040,0
S01,Malkajgiri No. :7,1723261,1459417,405,877156,741285,0
S01,Secundrabad No. :8,1012740,880779,222,546289,457397,3
S01,Hyderabad No. :9,960480,862516,221,525811,445415,0
S01,CHELVELLA No. :10,1153061,1031897,206,695012,617108,0
S01,Mahbubnagar No. :11,713064,705447,157,509912,499391,1
S01,Nagarkurnool No. :12,745050,732104,151,569056,537781,28
S01,Nalgonda No. :13,746042,748256,45,597237,583448,2
S01,Bhongir No. :14,756965,735217,58,620408,588076,9
S01,Warangal No. :15,771760,765862,156,590443,580206,74
S01,Mahabubabad No. :16,688341,698868,79,560443,560406,4
S01,Khammam No. :17,712310,727861,96,586887,592349,0
S01,Aruku No. :18,622101,650158,81,450038,456802,24
S01,Srikakulam No. :19,706347,707248,131,503114,543763,0
S01,Vizianagaram No. :20,700639,702984,113,554616,564891,0
S01,Visakhapatnam No. :21,874909,847941,161,583232,576946,0
S01,Anakapalli No. :22,689109,712301,64,561825,582294,1
S01,Kakinada No. :23,709103,709050,137,555263,538635,35
S01,Amalapuram No. :24,682606,675208,51,565013,548900,1
S01,Rajahmundry No. :25,707152,714021,103,575432,574132,11
S01,Narsapuram No. :26,652598,672304,126,536507,546670,0
S01,Eluru No. :27,706952,720738,74,600526,594189,5
S01,Machilipatnam No. :28,675783,693423,105,564406,569695,3
S01,Vijayawada No. :29,781179,783169,165,599506,589998,10
S01,Guntur No. :30,773037,798804,176,613894,623668,17
S01,Narasaraopet No. :31,748474,766262,125,635270,640887,0
S01,Bapatla No. :32,686494,706353,117,583921,594010,1
S01,Ongole No. :33,736216,733891,105,597957,599889,9
S01,Nandyal No. :34,783126,793585,234,601303,599288,16
S01,Kurnool No. :35,738832,742805,154,543424,519253,3
S01,Anantapur No. :36,775506,761243,145,612936,592912,1
S01,Hindupur No. :37,734674,711755,67,598591,572192,0
S01,Kadapa No. :38,764947,785380,113,583320,606195,1
S01,Nellore No. :39,796823,809115,189,589353,590606,9
S01,Tirupati No. :40,778507,795485,169,602087,605328,3
S01,Rajampet No. :41,735613,752029,149,570991,582836,8
S01,Chittoor No. :42,723865,727853,133,595000,597153,0
S02,ARUNACHAL WEST No. :1,219415,227225,0,155623,170663,0
S02,ARUNACHAL EAST No. :2,160151,152553,0,126888,128574,0
S03,Karimganj No. :1,615198,550799,0,481673,404641,0
S03,Silchar No. :2,554540,505558,77,428972,370918,0
S03,Autonomous District No. :3,359058,343172,0,279451,263869,0
S03,Dhubri No. :4,797235,752931,0,709038,660085,0
S03,Kokrajhar No. :5,776151,729307,14,636473,587031,0
S03,Barpeta No. :6,755566,674622,0,634466,571414,0
S03,Gauhati No. :7,988067,934203,0,784535,727081,0
S03,Mangaldoi No. :8,791539,724137,0,651247,581802,0
S03,Tezpur No. :9,654866,604702,0,505481,475043,0
S03,Nowgong No. :10,792425,731446,10,639499,590545,0
S03,Kaliabor No. :11,752695,704524,0,605354,561208,0
S03,Jorhat No. :12,611283,578203,0,483784,447088,0
S03,Dibrugarh No. :13,579658,544647,0,462187,428637,0
S03,Lakhimpur No. :14,735340,695740,0,572467,539555,0
S04,Valmiki Nagar No. :1,786312,670236,50,484433,415396,9
S04,Paschim Champaran No. :2,769411,643703,34,469048,385593,0
S04,Purvi Champaran No. :3,779657,659560,36,442071,380577,0
S04,Sheohar No. :4,792374,693355,72,433327,409336,0
S04,Sitamarhi No. :5,832370,742498,46,448849,451628,0
S04,Madhubani No. :6,878017,749809,6,413708,446640,0
S04,Jhanjharpur No. :7,895570,772835,0,450499,490640,0
S04,Supaul No. :8,797373,728185,25,468476,502044,0
S04,Araria No. :9,843076,744212,44,492513,483291,0
S04,Kishanganj No. :10,762874,676103,13,471096,457126,0
S04,Katihar No. :11,769044,677392,42,495600,481934,0
S04,Purnia No. :12,826834,755758,34,511262,506106,0
S04,Madhepura No. :13,899152,826507,34,508782,525869,0
S04,Darbhanga No. :14,797254,698177,14,407516,421741,0
S04,Muzaffarpur No. :15,830943,720390,30,490949,457916,0
S04,Vaishali No. :16,841773,724500,48,480759,445167,0
S04,Gopalganj (SC) No. :17,871590,783212,36,444922,458639,0
S04,Siwan No. :18,841735,722100,25,443827,440178,0
S04,Maharajganj No. :19,874822,767218,28,420232,426095,0
S04,Saran No. :20,832441,706266,33,450511,411954,0
S04,Hajipur (SC) No. :21,895047,754452,48,478157,425876,0
S04,Ujiarpur No. :22,764186,662004,27,433858,425047,0
S04,Samastipur (SC) No. :23,802420,702007,24,430782,432401,0
