State,State_Code,Constituency,Male_Electors,Female_Electors,Other_Electors,Total_Electors,Male_Voters,Female_Voters,Other_Voters,Total_Voters,Year
ANDHRA PRADESH,S01,ARAKU ST 1,756088,800954,111,1557153,560845,582168,0,1143013,2024
ANDHRA PRADESH,S01,SRIKAKULAM GEN 2,821758,824812,116,1646686,583434,630675,14,1214123,2024
ANDHRA PRADESH,S01,VIZIANAGARAM GEN 3,791124,799780,90,1590994,636780,648518,24,1285322,2024
ANDHRA PRADESH,S01,VISAKHAPATNAM GEN 4,952279,979004,115,1931398,666337,704168,41,1370546,2024
ANDHRA PRADESH,S01,ANAKAPALLE GEN 5,784191,817141,33,1601365,638070,671515,16,1309601,2024
ANDHRA PRADESH,S01,KAKINADA GEN 6,805234,829501,186,1634921,652890,659778,102,1312770,2024
ANDHRA PRADESH,S01,AMALAPURAM SC 7,759898,772310,21,1532229,644627,640319,11,1284957,2024
ANDHRA PRADESH,S01,RAJAHMUNDRY GEN 8,792975,830780,97,1623852,647732,666090,60,1313882,2024
ANDHRA PRADESH,S01,NARSAPURAM GEN 9,722388,751345,78,1473811,602695,614581,47,1217323,2024
ANDHRA PRADESH,S01,ELURU GEN 10,799901,838089,126,1638116,676946,693751,54,1370751,2024
ANDHRA PRADESH,S01,MACHILIPATNAM GEN 11,746622,793366,57,1540045,631911,662040,27,1293978,2024
ANDHRA PRADESH,S01,VIJAYAWADA GEN 12,830857,873461,151,1704469,663232,690007,99,1353338,2024
ANDHRA PRADESH,S01,GUNTUR GEN 13,867085,926080,159,1793324,686759,726457,62,1413278,2024
ANDHRA PRADESH,S01,NARSARAOPET GEN 14,847765,888206,191,1736162,727861,758617,88,1486566,2024
ANDHRA PRADESH,S01,BAPATLA SC 15,739959,771133,85,1511177,631216,656361,40,1287617,2024
ANDHRA PRADESH,S01,ONGOLE GEN 16,809009,805409,107,1614525,701248,699852,74,1401174,2024
ANDHRA PRADESH,S01,NANDYAL GEN 17,844830,879029,332,1724191,685792,701399,176,1387367,2024
ANDHRA PRADESH,S01,KURNOOLU GEN 18,853777,870170,244,1724191,666126,656848,97,1323071,2024
ANDHRA PRADESH,S01,ANANTHAPUR GEN 19,874405,894625,234,1769264,710510,713244,107,1423861,2024
ANDHRA PRADESH,S01,HINDUPUR GEN 20,825761,832692,76,1658529,704696,699324,36,1404056,2024
ANDHRA PRADESH,S01,KADAPA GEN 21,803077,838056,216,1641349,634349,669820,87,1304256,2024
ANDHRA PRADESH,S01,NELLORE GEN 22,838816,873840,184,1712840,668498,685909,74,1354481,2024
ANDHRA PRADESH,S01,THIRUPATHI SC 23,843597,886573,148,1730318,673487,694837,38,1368362,2024
ANDHRA PRADESH,S01,RAJAMPET GEN 24,819081,848172,132,1667385,645420,672034,52,1317506,2024
ANDHRA PRADESH,S01,CHITTOOR SC 25,809374,834087,132,1643593,694417,712402,62,1406881,2024
ARUNACHAL PRADESH,S02,ARUNACHAL WEST GEN 1,251346,268735,4,520085,177023,202586,2,379611,2024
ARUNACHAL PRADESH,S02,ARUNACHAL EAST GEN 2,192732,185624,1,378357,153140,158252,0,311392,2024
ASSAM,S03,KOKRAJHAR ST 1,750857,743540,7,1494404,615168,625137,1,1240306,2024
ASSAM,S03,DHUBRI GEN 2,1365321,1298641,25,2663987,1253081,1196954,5,2450040,2024
ASSAM,S03,BARPETA GEN 3,1007761,971269,21,1979051,850460,826164,9,1676633,2024
ASSAM,S03,DARRANG-UDALGURI GEN 4,1113643,1100840,33,2214516,913392,898364,8,1811764,2024
ASSAM,S03,GUWAHATI GEN 5,1003991,1035716,58,2039765,789748,806677,7,1596432,2024
ASSAM,S03,DIPHU ST 6,449575,452456,19,902050,338459,343977,5,682441,2024
ASSAM,S03,KARIMGANJ GEN 7,725446,689062,12,1414520,584655,555694,0,1140349,2024
ASSAM,S03,SILCHAR SC 8,688748,685787,24,1374559,541441,541165,6,1082612,2024
ASSAM,S03,NAGAON GEN 9,918217,902724,82,1821023,771964,772153,9,1544126,2024
ASSAM,S03,KAZIRANGA GEN 10,1028420,1025352,33,2053805,802309,824013,6,1626328,2024
ASSAM,S03,SONITPUR GEN 11,817734,821225,33,1638992,629405,652547,7,1281959,2024
ASSAM,S03,LAKHIMPUR GEN 12,789517,790966,17,1580500,594959,610495,2,1205456,2024
ASSAM,S03,DIBRUGARH GEN 13,812311,849652,35,1661998,623386,650333,8,1273727,2024
ASSAM,S03,JORHAT GEN 14,854583,878356,5,1732944,677316,702369,2,1379687,2024
BIHAR,S04,VALMIKI NAGAR GEN 1,968965,860015,72,1829052,532471,567647,7,1100125,2024
BIHAR,S04,PASCHIM CHAMPARAN GEN 2,939087,820083,64,1759234,535461,546703,6,1082170,2024
BIHAR,S04,PURVI CHAMPARAN GEN 3,942619,850800,21,1793440,517273,551813,5,1069091,2024
BIHAR,S04,SHEOHAR GEN 4,969489,864885,63,1834437,501272,551231,2,1052505,2024
BIHAR,S04,SITAMARHI GEN 5,1029895,920058,75,1950028,518587,575804,5,1094396,2024
BIHAR,S04,MADHUBANI GEN 6,1016061,920607,91,1936759,473327,553007,4,1026338,2024
BIHAR,S04,JHANJHARPUR GEN 7,1047537,957652,89,2005278,503619,587770,5,1091394,2024
BIHAR,S04,SUPAUL GEN 8,998369,930477,41,1928887,568472,656552,2,1225026,2024
BIHAR,S04,ARARIA GEN 9,1050929,968734,94,2019757,598132,652069,6,1250207,2024
BIHAR,S04,KISHANGANJ GEN 10,945306,884825,66,1830197,556663,593406,1,1150070,2024
BIHAR,S04,KATIHAR GEN 11,955971,878511,30,1834512,561942,606768,0,1168710,2024
BIHAR,S04,PURNIA GEN 12,977600,917363,73,1895036,590192,604414,1,1194607,2024
BIHAR,S04,MADHEPURA GEN 13,1076602,996956,50,2073608,575199,632297,3,1207499,2024
BIHAR,S04,DARBHANGA GEN 14,937999,844820,34,1782853,491044,531090,0,1022134,2024
BIHAR,S04,MUZAFFARPUR GEN 15,987259,881759,54,1869072,550167,559926,2,1110095,2024
BIHAR,S04,VAISHALI GEN 16,989468,882340,69,1871877,564561,605297,3,1169861,2024
BIHAR,S04,GOPALGANJ SC 17,1031493,995481,80,2027054,477669,581719,5,1059393,2024
BIHAR,S04,SIWAN GEN 18,992994,908907,55,1901956,465107,530396,3,995506,2024
BIHAR,S04,MAHARAJGANJ GEN 19,1015534,926911,4,1942449,470759,540703,0,1011462,2024
BIHAR,S04,SARAN GEN 20,946197,854584,9,1800790,504215,514278,1,1018494,2024
BIHAR,S04,HAJIPUR SC 21,1037490,935354,71,1972915,574484,574904,6,1149394,2024
BIHAR,S04,UJIARPUR GEN 22,922736,825621,20,1748377,503464,536716,3,1040183,2024
BIHAR,S04,SAMASTIPUR SC 23,956619,863369,28,1820016,526434,566849,5,1093288,2024
BIHAR,S04,BEGUSARAI GEN 24,1159084,1041292,59,2200435,627666,661367,9,1289042,2024
BIHAR,S04,KHAGARIA GEN 25,966449,877270,48,1843767,502543,556066,3,1058612,2024
BIHAR,S04,BHAGALPUR GEN 26,1031249,956849,109,1988207,545424,516186,4,1061614,2024
BIHAR,S04,BANKA GEN 27,982365,877574,28,1859967,499906,511710,0,1011616,2024
BIHAR,S04,MUNGER GEN 28,1091862,959915,52,2051829,597974,536569,7,1134550,2024
BIHAR,S04,NALANDA GEN 29,1202273,1091652,69,2293994,566513,572822,1,1139336,2024
BIHAR,S04,PATNA SAHIB GEN 30,1211129,1084287,111,2295527,592775,480981,6,1073762,2024
BIHAR,S04,PATLIPUTRA GEN 31,1095711,984846,56,2080613,664265,563524,4,1227793,2024
BIHAR,S04,ARRAH GEN 32,1168844,1014748,33,2183625,580976,507760,2,1088738,2024
BIHAR,S04,BUXAR GEN 33,1016998,917337,17,1934352,562516,503778,6,1066300,2024
BIHAR,S04,SASARAM SC 34,1000776,914111,27,1914914,578643,513511,4,1092158,2024
BIHAR,S04,KARAKAT GEN 35,986518,901417,70,1888005,546361,482271,9,1028641,2024
BIHAR,S04,JAHANABAD GEN 36,881253,797431,32,1678716,480456,440509,0,920965,2024
BIHAR,S04,AURANGABAD GEN 37,982046,893729,34,1875809,500839,441460,2,942301,2024
BIHAR,S04,GAYA SC 38,948485,872825,20,1821330,508825,449559,3,958387,2024
BIHAR,S04,NAWADA GEN 39,1047731,962405,150,2010286,455951,409925,4,865880,2024
BIHAR,S04,JAMUI SC 40,1000537,910031,51,1910619,499732,477605,1,977338,2024
GOA,S05,NORTH GOA GEN 1,281617,299090,3,580710,221076,229976,2,451054,2024
GOA,S05,SOUTH GOA GEN 2,290292,308633,9,598934,210012,235905,7,445924,2024
GUJARAT,S06,KACHCHH SC 1,1001224,942382,27,1943633,599289,491951,8,1091248,2024
GUJARAT,S06,BANASKANTHA GEN 2,1014732,948563,17,1963312,741360,624492,8,1365860,2024
GUJARAT,S06,PATAN GEN 3,1039422,982318,32,2021772,644978,537963,10,1182951,2024
GUJARAT,S06,MAHESANA GEN 4,912842,859148,58,1772048,578728,481200,9,1059937,2024
GUJARAT,S06,SABARKANTHA GEN 5,1009351,971379,67,1980797,673366,582881,39,1256286,2024
GUJARAT,S06,GANDHINAGAR GEN 6,1121493,1061832,77,2183402,705958,598866,16,1304840,2024
GUJARAT,S06,AHMEDABAD EAST GEN 7,1068564,971582,117,2040263,628137,487159,17,1115313,2024
GUJARAT,S06,AHMEDABAD WEST SC 8,890852,836720,73,1727645,526675,430866,30,957571,2024
GUJARAT,S06,SURENDRANAGAR GEN 9,1058159,976810,32,2035001,632127,488046,6,1120179,2024
GUJARAT,S06,RAJKOT GEN 10,1094070,1018620,36,2112726,705589,555183,6,1260778,2024
GUJARAT,S06,PORBANDAR GEN 11,913428,856141,25,1769594,521886,394660,10,916556,2024
GUJARAT,S06,JAMNAGAR GEN 12,932789,886134,36,1818959,587414,460995,13,1048422,2024
GUJARAT,S06,JUNAGADH GEN 13,919785,876722,25,1796532,575101,482344,9,1057454,2024
GUJARAT,S06,AMRELI GEN 14,896212,837129,26,1733367,484240,387123,10,871373,2024
GUJARAT,S06,BHAVNAGAR GEN 15,995380,922974,40,1918394,570888,462735,13,1033636,2024
GUJARAT,S06,ANAND GEN 16,908442,872136,131,1780709,623620,534087,56,1157763,2024
GUJARAT,S06,KHEDA GEN 17,1025815,982364,102,2008281,649782,516800,37,1166619,2024
GUJARAT,S06,PANCHMAHAL GEN 18,967574,930633,27,1898234,592313,523884,13,1116210,2024
GUJARAT,S06,DAHOD ST 19,928025,948203,19,1876247,571610,540636,3,1112249,2024
GUJARAT,S06,VADODARA GEN 20,995588,954305,230,1950123,638919,561804,62,1200785,2024
GUJARAT,S06,CHHOTA UDAIPUR ST 21,932362,890054,21,1822437,668609,591240,5,1259854,2024
GUJARAT,S06,BHARUCH GEN 22,877707,845880,83,1723670,628064,563923,13,1192000,2024
GUJARAT,S06,BARDOLI ST 23,1041490,1007279,19,2048788,696902,630769,5,1327676,2024
GUJARAT,S06,NAVSARI GEN 25,1197438,1026249,117,2223804,719925,606579,39,1326543,2024
GUJARAT,S06,VALSAD ST 26,945740,914448,19,1860207,699982,652437,12,1352431,2024
HARYANA,S07,AMBALA SC 1,1062599,940835,76,2003510,723639,620885,6,1344530,2024
HARYANA,S07,KURUKSHETRA GEN 2,946102,853696,24,1799822,636544,565857,12,1202413,2024
HARYANA,S07,SIRSA SC 3,1026726,914550,43,1941319,729134,622794,21,1351949,2024
HARYANA,S07,HISAR GEN 4,963668,835860,11,1799539,636650,532137,3,1168790,2024
HARYANA,S07,KARNAL GEN 5,1112816,996848,38,2109702,721760,619418,19,1341197,2024
HARYANA,S07,SONIPAT GEN 6,953328,823636,44,1777008,610142,510357,8,1120507,2024
