State,State_Code,Constituency,Male_Electors,Female_Electors,Other_Electors,Total_Electors,Male_Voters,Female_Voters,Other_Voters,Total_Voters,Year
JHARKHAND,S27,RAJMAHAL ST 1,852167,853531,10,1705708,584123,622548,4,1206675,2024
JHARKHAND,S27,DUMKA ST 2,800126,792060,6,1592192,572058,603252,3,1175313,2024
JHARKHAND,S27,GODDA GEN 3,1052544,977883,17,2030444,682778,708853,11,1391642,2024
JHARKHAND,S27,CHATRA GEN 4,864657,828039,2,1692698,512868,563517,0,1076385,2024
JHARKHAND,S27,KODARMA GEN 5,1142511,1065311,23,2207845,617159,745849,3,1363011,2024
JHARKHAND,S27,GIRIDIH GEN 6,962472,904283,8,1866763,624275,629265,7,1253547,2024
JHARKHAND,S27,DHANBAD GEN 7,1201348,1088926,80,2290354,739654,678588,25,1418267,2024
JHARKHAND,S27,RANCHI GEN 8,1117341,1085118,69,2202528,728930,707142,22,1436094,2024
JHARKHAND,S27,JAMSHEDPUR GEN 9,939374,931881,133,1871388,636273,628937,56,1265266,2024
JHARKHAND,S27,SINGHBHUM ST 10,713440,735998,33,1449471,488828,514633,7,1003468,2024
JHARKHAND,S27,KHUNTI ST 11,653670,675749,4,1329423,451128,476292,3,927423,2024
JHARKHAND,S27,LOHARDAGA ST 12,720501,727720,4,1448225,458485,499182,1,957668,2024
JHARKHAND,S27,PALAMU SC 13,1167828,1080253,1,2248082,677291,696445,1,1373737,2024
JHARKHAND,S27,HAZARIBAGH GEN 14,1000509,942231,31,1942771,611815,637260,18,1249093,2024
UTTARAKHAND,S28,TEHRI GARHWAL GEN 1,828282,762182,62,1590526,427268,420978,14,848260,2024
UTTARAKHAND,S28,GARHWAL GEN 2,733724,670493,16,1404233,337666,380057,8,717731,2024
UTTARAKHAND,S28,ALMORA SC 3,712648,655779,5,1368432,304933,347966,2,652901,2024
UTTARAKHAND,S28,NAINITAL-UDHAMSINGH NAGAR GEN 4,1057189,969194,55,2026438,655771,603394,19,1259184,2024
UTTARAKHAND,S28,HARIDWAR GEN 5,1076290,965023,159,2041472,690361,603168,44,1293573,2024
TELANGANA,S29,ADILABAD ST 1,807060,845247,87,1652394,599098,622388,35,1221521,2024
TELANGANA,S29,PEDDAPALLE SC 2,789125,808664,103,1597892,540807,542627,33,1083467,2024
TELANGANA,S29,KARIMNAGAR GEN 3,878459,919607,102,1798168,634663,668982,45,1303690,2024
TELANGANA,S29,NIZAMABAD GEN 4,806832,898669,90,1705591,552505,673671,39,1226215,2024
TELANGANA,S29,ZAHIRABAD GEN 5,802858,839508,59,1642425,608094,616917,16,1225027,2024
TELANGANA,S29,MEDAK GEN 6,902595,925913,209,1828717,688854,683977,65,1372896,2024
TELANGANA,S29,MALKAJGIRI GEN 7,1946386,1833525,542,3780453,995829,923240,134,1919203,2024
