State_Code,Constituency,Male_Electors,Female_Electors,Other_Electors,Total_Electors,Male_Voters,Female_Voters,Other_Voters,Total_Voters,Year
S04,MUZAFFARPUR GEN 15,922632,807889,32,1730553,532392,521572,0,1053964,2019
S04,VAISHALI GEN 16,932416,803519,48,1735983,536923,535176,2,1072101,2019
S04,GOPALGANJ (SC) SC 17,940761,898680,73,1839514,476256,539136,2,1015394,2019
S04,SIWAN GEN 18,943944,855554,53,1799551,471597,510554,0,982151,2019
S04,MAHARAJGANJ GEN 19,957347,850372,49,1807768,467023,501866,2,968891,2019
S04,SARAN GEN 20,896700,770526,27,1667253,479986,458722,0,938708,2019
S04,HAJIPUR (SC) SC 21,984179,839426,59,1823664,518835,485247,4,1004086,2019
S04,UJIARPUR GEN 22,860948,751293,59,1612300,478018,488760,1,966779,2019
S04,SAMASTIPUR (SC) SC 23,891472,787524,34,1679030,496337,520796,0,1017133,2019
S04,BEGUSARAI GEN 24,1043479,914841,62,1958382,603585,613828,3,1217416,2019
S04,KHAGARIA GEN 25,885983,790436,35,1676454,467181,497927,4,965112,2019
S04,BHAGALPUR GEN 26,966745,857006,69,1823820,546334,493759,3,1040096,2019
S04,BANKA GEN 27,903490,795885,19,1699394,497999,496121,0,994120,2019
S04,MUNGER GEN 28,1015329,872643,53,1888025,547935,483085,1,1031021,2019
S04,NALANDA GEN 29,1123062,991672,75,2114809,559964,469057,0,1029021,2019
